gram,count,category_1,category_2,category_3,hide
classic men,2,,,,
suede classic men,1,,,,
classic men s,2,,,,
americana,2,,,,
puma americana,1,,,,
americana suede,1,,,,
suede men,1,,,,
puma americana suede,1,,,,
americana suede men,1,,,,
suede men s,1,,,,
basket,13,,,,
citi,1,,,,
metallic,2,,,,
puma basket,10,,,,
basket classic,9,,,,
classic citi,1,,,,
citi metallic,1,,,,
metallic men,1,,,,
puma basket classic,8,,,,
basket classic citi,1,,,,
classic citi metallic,1,,,,
citi metallic men,1,,,,
metallic men s,1,,,,
holographic,8,,,,
classic holographic,1,,,,
holographic men,4,,,,
basket classic holographic,1,,,,
classic holographic men,1,,,,
holographic men s,4,,,,
heritage,2,,,,
puma heritage,1,,,,
heritage basket,1,,,,
puma heritage basket,1,,,,
heritage basket classic,1,,,,
basket classic men,1,,,,
culture,2,,,,
surf,87,,,,
classic culture,1,,,,
culture surf,1,,,,
surf men,1,,,,
suede classic culture,1,,,,
classic culture surf,1,,,,
culture surf men,1,,,,
surf men s,1,,,,
holiday,431,,,,
suede holiday,1,,,,
holiday men,1,,,,
puma suede holiday,1,,,,
suede holiday men,1,,,,
holiday men s,1,,,,
zip,187,,,,
classic zip,1,,,,
zip men,1,,,,
suede classic zip,1,,,,
classic zip men,1,,,,
zip men s,1,,,,
sky,35,,,,
ii,51,,,,
hi,77,,,,
puma sky,7,,,,
sky ii,8,,,,
ii hi,8,,,,
hi holographic,3,,,,
puma sky ii,7,,,,
sky ii hi,8,,,,
ii hi holographic,3,,,,
hi holographic men,3,,,,
ferrari,2,,,,
driver,4,,,,
replica,1,,,,
puma ferrari,2,,,,
ferrari driver,1,,,,
driver evoknit,1,,,,
evoknit replica,1,,,,
replica men,1,,,,
s shoes,5,,,,
puma ferrari driver,1,,,,
ferrari driver evoknit,1,,,,
driver evoknit replica,1,,,,
evoknit replica men,1,,,,
replica men s,1,,,,
men s shoes,5,,,,
future,123,,,,
cat,7,,,,
casual,131,,,,
ferrari future,1,,,,
future cat,1,,,,
cat casual,1,,,,
casual men,2,,,,
puma ferrari future,1,,,,
ferrari future cat,1,,,,
future cat casual,1,,,,
cat casual men,1,,,,
casual men s,2,,,,
en,104,,,,
noir,98,,,,
evoknit en,1,,,,
en noir,91,,,,
noir men,1,,,,
ignite evoknit en,1,,,,
evoknit en noir,1,,,,
en noir men,1,,,,
noir men s,1,,,,
zipped,36,,,,
sneaker,205,,,,
boots,34,,,,
puma zipped,3,,,,
zipped men,3,,,,
s sneaker,4,,,,
sneaker boots,5,,,,
puma zipped men,3,,,,
zipped men s,3,,,,
men s sneaker,4,,,,
s sneaker boots,4,,,,
bow,5,,,,
puma bow,1,,,,
bow men,1,,,,
puma bow men,1,,,,
bow men s,1,,,,
oversized,53,,,,
polo,97,,,,
puma oversized,1,,,,
oversized polo,1,,,,
puma oversized polo,1,,,,
long,334,,,,
sleeve,297,,,,
back,42,,,,
lacing,1,,,,
hoody,284,,,,
puma long,1,,,,
long sleeve,194,,,,
sleeve back,1,,,,
back lacing,1,,,,
lacing hoody,1,,,,
puma long sleeve,1,,,,
long sleeve back,1,,,,
sleeve back lacing,1,,,,
back lacing hoody,1,,,,
x,330,,,,
daily,22,,,,
paper,24,,,,
match,18,,,,
strap,116,,,,
puma puma,97,,,,
puma x,94,,,,
x daily,20,,,,
daily paper,20,,,,
paper match,2,,,,
match strap,2,,,,
puma puma x,94,,,,
puma x daily,20,,,,
x daily paper,20,,,,
daily paper match,2,,,,
paper match strap,2,,,,
dp,14,,,,
court,69,,,,
platform,8,,,,
ss,71,,,,
x dp,12,,,,
dp court,6,,,,
court platform,6,,,,
platform ss,2,,,,
puma x dp,12,,,,
x dp court,6,,,,
dp court platform,6,,,,
court platform ss,2,,,,
raw,66,,,,
edge,34,,,,
dp match,4,,,,
match raw,2,,,,
raw edge,11,,,,
x dp match,4,,,,
dp match raw,2,,,,
match raw edge,2,,,,
knitsplat,2,,,,
dp platform,2,,,,
platform knitsplat,2,,,,
x dp platform,2,,,,
dp platform knitsplat,2,,,,
t,935,,,,
shirt,1255,,,,
paper t,3,,,,
t shirt,867,,,,
daily paper t,3,,,,
paper t shirt,3,,,,
paper polo,4,,,,
daily paper polo,4,,,,
parka,50,,,,
paper parka,1,,,,
daily paper parka,1,,,,
knitted,2,,,,
chino,19,,,,
paper knitted,2,,,,
knitted chino,2,,,,
daily paper knitted,2,,,,
paper knitted chino,2,,,,
k,5,,,,
platform k,2,,,,
court platform k,2,,,,
platform s,2,,,,
court platform s,2,,,,
splatter,11,,,,
match splatter,2,,,,
dp match splatter,2,,,,
paper tank,1,,,,
daily paper tank,1,,,,
track,82,,,,
top,133,,,,
paper track,2,,,,
track top,13,,,,
daily paper track,2,,,,
paper track top,2,,,,
crew,613,,,,
sweat,206,,,,
paper crew,2,,,,
crew sweat,23,,,,
daily paper crew,2,,,,
paper crew sweat,2,,,,
paper jacket,2,,,,
daily paper jacket,2,,,,
shorts,638,,,,
paper shorts,1,,,,
daily paper shorts,1,,,,
extreme,7,,,,
limitless extreme,1,,,,
extreme hi,1,,,,
hi tech,1,,,,
tech men,1,,,,
ignite limitless extreme,1,,,,
limitless extreme hi,1,,,,
extreme hi tech,1,,,,
hi tech men,1,,,,
tech men s,1,,,,
boot,93,,,,
sock boot,1,,,,
boot men,5,,,,
glory sock boot,1,,,,
sock boot men,1,,,,
boot men s,5,,,,
sock men,2,,,,
glory sock men,1,,,,
sock men s,2,,,,
tsugi,11,,,,
puma tsugi,11,,,,
tsugi blaze,2,,,,
blaze men,2,,,,
puma tsugi blaze,2,,,,
tsugi blaze men,2,,,,
blaze men s,2,,,,
shinsei,5,,,,
tsugi shinsei,5,,,,
shinsei men,4,,,,
puma tsugi shinsei,5,,,,
tsugi shinsei men,4,,,,
shinsei men s,4,,,,
b,33,,,,
o,31,,,,
g,13,,,,
high,166,,,,
puma b,1,,,,
b o,2,,,,
o g,3,,,,
g limitless,2,,,,
limitless high,1,,,,
high top,23,,,,
top sneakers,10,,,,
puma b o,1,,,,
b o g,2,,,,
o g limitless,2,,,,
g limitless high,1,,,,
limitless high top,1,,,,
high top sneakers,8,,,,
pink,107,,,,
dolphin,1,,,,
mid,172,,,,
puma pink,1,,,,
pink dolphin,1,,,,
dolphin suede,1,,,,
classic mid,1,,,,
mid men,6,,,,
puma pink dolphin,1,,,,
pink dolphin suede,1,,,,
dolphin suede classic,1,,,,
suede classic mid,1,,,,
classic mid men,1,,,,
mid men s,6,,,,
embossed,8,,,,
classic embossed,2,,,,
embossed mid,2,,,,
basket classic embossed,2,,,,
classic embossed mid,2,,,,
embossed mid men,2,,,,
gtx,4,,,,
basket mid,2,,,,
mid gtx,2,,,,
puma basket mid,2,,,,
basket mid gtx,2,,,,
legacy,73,,,,
collection,190,,,,
puma legacy,14,,,,
legacy collection,14,,,,
collection sky,1,,,,
hi men,3,,,,
puma legacy collection,14,,,,
legacy collection sky,1,,,,
collection sky ii,1,,,,
ii hi men,1,,,,
hi men s,3,,,,
play,503,,,,
prm,24,,,,
puma play,1,,,,
play prm,1,,,,
prm men,1,,,,
puma play prm,1,,,,
play prm men,1,,,,
prm men s,1,,,,
hi core,3,,,,
ii hi core,3,,,,
hi core men,3,,,,
me,18,,,,
iced,1,,,,
suede me,1,,,,
me iced,1,,,,
iced mid,1,,,,
puma suede me,1,,,,
suede me iced,1,,,,
me iced mid,1,,,,
iced mid men,1,,,,
bball,3,,,,
hi bball,1,,,,
bball men,1,,,,
ii hi bball,1,,,,
hi bball men,1,,,,
bball men s,1,,,,
silicis,2,,,,
puma silicis,2,,,,
silicis mid,2,,,,
puma silicis mid,2,,,,
silicis mid men,2,,,,
red,437,,,,
bull,8,,,,
racing,60,,,,
puma red,3,,,,
red bull,3,,,,
bull racing,3,,,,
racing desert,1,,,,
desert boot,1,,,,
puma red bull,3,,,,
red bull racing,3,,,,
bull racing desert,1,,,,
racing desert boot,1,,,,
desert boot men,1,,,,
vulc,22,,,,
racing vulc,2,,,,
vulc men,2,,,,
bull racing vulc,2,,,,
racing vulc men,2,,,,
vulc men s,2,,,,
stampd,33,,,,
clyde,29,,,,
x stampd,32,,,,
stampd clyde,2,,,,
puma x stampd,27,,,,
x stampd clyde,2,,,,
trinomic,4,,,,
woven,116,,,,
stampd trinomic,3,,,,
trinomic woven,3,,,,
x stampd trinomic,3,,,,
stampd trinomic woven,3,,,,
stampd tee,2,,,,
x stampd tee,2,,,,
stampd shorts,2,,,,
x stampd shorts,2,,,,
stampd tank,2,,,,
x stampd tank,2,,,,
shortsleeve,2,,,,
wb,7,,,,
stampd shortsleeve,2,,,,
shortsleeve wb,2,,,,
x stampd shortsleeve,2,,,,
stampd shortsleeve wb,2,,,,
jackpack,2,,,,
stampd jackpack,2,,,,
x stampd jackpack,2,,,,
cap,225,,,,
stampd cap,2,,,,
x stampd cap,2,,,,
jumpsuit,6,,,,
stampd jumpsuit,2,,,,
x stampd jumpsuit,2,,,,
stampd hoody,2,,,,
x stampd hoody,2,,,,
bra,4,,,,
stampd bra,2,,,,
bra top,2,,,,
x stampd bra,2,,,,
stampd bra top,2,,,,
stampd track,2,,,,
track pants,14,,,,
x stampd track,2,,,,
stampd track pants,2,,,,
duffle,16,,,,
stampd duffle,1,,,,
x stampd duffle,1,,,,
states,8,,,,
puma states,7,,,,
states x,4,,,,
puma puma states,3,,,,
puma states x,4,,,,
states x stampd,3,,,,
stampd long,1,,,,
long tank,1,,,,
tank top,57,,,,
x stampd long,1,,,,
stampd long tank,1,,,,
long tank top,1,,,,
staple,18,,,,
x staple,16,,,,
staple ignite,3,,,,
puma x staple,16,,,,
x staple ignite,3,,,,
staple ignite evoknit,2,,,,
staple ignite limitless,1,,,,
staple clyde,1,,,,
x staple clyde,1,,,,
staple tee,2,,,,
x staple tee,2,,,,
staple shorts,2,,,,
x staple shorts,2,,,,
staple tech,2,,,,
tech shirt,4,,,,
x staple tech,2,,,,
staple tech shirt,2,,,,
staple track,2,,,,
x staple track,2,,,,
staple track pants,2,,,,
hoodie,663,,,,
staple hoodie,2,,,,
x staple hoodie,2,,,,
staple jacket,3,,,,
x staple jacket,1,,,,
sf,4,,,,
staple sf,1,,,,
sf cap,1,,,,
x staple sf,1,,,,
staple sf cap,1,,,,
super,34,,,,
suede super,2,,,,
super puma,20,,,,
puma men,2,,,,
puma suede super,2,,,,
suede super puma,2,,,,
super puma men,2,,,,
puma men s,2,,,,
puma super,18,,,,
puma t,3,,,,
puma super puma,18,,,,
super puma t,3,,,,
puma t shirt,3,,,,
puma tank,2,,,,
super puma tank,2,,,,
puma tank top,2,,,,
satin,44,,,,
bomber,199,,,,
puma satin,2,,,,
satin bomber,18,,,,
bomber jacket,102,,,,
super puma satin,2,,,,
puma satin bomber,2,,,,
