"Handle","Title","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","URL"
"northern-lights-optic-nl6",,,,,,,"Gun Metal",,"One Size Fits All",,,"300002GMOS",454,"shopify",1,"deny","manual",279,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl6_silver.jpg?v=1489163954",2,"Matte Silver",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl6_gunmetal.jpg?v=1489163955","lb",,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl7"
"northern-lights-optic-nl6",,,,,,,"Matte Silver Green",,"One Size Fits All",,,"300002MSGOS",454,"shopify",2,"deny","manual",279,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl6_gunmetal.jpg?v=1489163955",3,"Gun Metal",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/NLO_NL6_MatteSilverGreen.jpg?v=1489163955","lb",,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl8"
"northern-lights-optic-nl6",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl6_feature.jpg?v=1489163955",4,"Northern Lights Optic NL6 - Alps & Meters
 - 4",,,,,,,,,,,,,,,,,,,,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl9"
"northern-lights-optic-nl6",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/NLO_NL6_MatteSilverGreen.jpg?v=1489163955",5,"Green",,,,,,,,,,,,,,,,,,,,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl10"
"northern-lights-optic-nl7","Northern Lights Optic NL7","Northern Lights Optic","Eyewear","Eyewear, Forged Performance, Mountaineering Glasses, Sunglasses","TRUE","Color","Solar","Size","One Size Fits All",,,"300003SOLA",454,"shopify",0,"deny","manual",299,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl7-solar1.jpg?v=1475158016",1,"Solar","FALSE",,"The NL-7: Inspired by vintage mountaineering glasses. A classic round look, with deep cut hand made acetate rims. Matte tortoise with brown tinted lenses.",,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl7-solar1.jpg?v=1475158016","lb",,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl7"
"northern-lights-optic-nl7",,,,,,,"Gloss Black",,"One Size Fits All",,,"300003GBOS",454,"shopify",1,"deny","manual",299,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl7-nebula.jpg?v=1475158040",2,"Nebula",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl7-black.jpg?v=1475158025","lb",,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl8"
"northern-lights-optic-nl7",,,,,,,"Nebula",,"One Size Fits All",,,"300003NEBU",454,"shopify",0,"deny","manual",299,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl7-nebula2.jpg?v=1475038893",3,"Northern Lights Optic NL7 - Alps & Meters
 - 3",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl7-nebula.jpg?v=1475158040","lb",,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl9"
"northern-lights-optic-nl7",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl7-solar.jpg?v=1475038893",4,"Northern Lights Optic NL7 - Alps & Meters
 - 4",,,,,,,,,,,,,,,,,,,,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl10"
"northern-lights-optic-nl7",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl7-black.jpg?v=1475158025",5,"Gloss Black",,,,,,,,,,,,,,,,,,,,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl11"
"northern-lights-optic-nl7",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl7-black2.jpg?v=1475038895",6,"Northern Lights Optic NL7 - Alps & Meters
 - 6",,,,,,,,,,,,,,,,,,,,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl12"
"northern-lights-optic-nl9","Northern Lights Optic NL9","Northern Lights Optic","Eyewear","Eyewear, Forged Performance, Mountaineering Glasses, Sunglasses","TRUE","Color","Solar Flare","Size","One Size Fits All",,,"300004SFOS",454,"shopify",1,"deny","manual",279,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl9-tortoise.jpg?v=1489177227",1,,"FALSE",,"The NL-9: Inspired by vintage mountaineering glasses. A modern interpretation of a classic look. Updated with a popular shape, this frame is easy to wear.",,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/solar1.jpg?v=1489177228","lb",,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl9"
"northern-lights-optic-nl9",,,,,,,"Matte Tortoise",,"One Size Fits All",,,"300004MTOS",454,"shopify",1,"deny","manual",279,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/0648/7519/products/tortoise2.jpg?v=1489177227",2,"Matte Tortoise",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl9-tortoise.jpg?v=1489177227","lb",,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl10"
"northern-lights-optic-nl9",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/solar2.jpg?v=1489177227",3,"Solar Flare",,,,,,,,,,,,,,,,,,,,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl11"
"northern-lights-optic-nl9",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/solar1.jpg?v=1489177228",4,"Solar Flare",,,,,,,,,,,,,,,,,,,,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl12"
