"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Age Group","Google Shopping / Gender","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code"
"30-1-crs-jersey-tee-white","Long Sleeve Jersey Tee","<h6>Description</h6>
<p>Standard fit, featuring super soft 30/1 <span>Spun cotton</span>, crew neck and long sleeves.</p>
<h6>Details</h6>
<p>30/1 Soft SpunCotton / Polyester blend 4.3 oz / 145 gram</p>
<h6>Size Guide</h6>
<p><img src=""//cdn.shopify.com/s/files/1/0750/4121/files/Screen_Shot_2016-03-09_at_3.23.12_PM_large_815081ed-f8a3-47a0-adbc-d1a023d54482_large.png?v=1487856755"" alt=""""></p>","LA FAMILIA MMXIV","TEE","20-40, 30/1 CRS JERSEY TEE, doublestandard, TEE","FALSE","Size","S","Color","WHITE",,,"LFCO17LS005-WHT-S",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236561980,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"30/1 CRS JERSEY TEE",,,"New",,,,,,,,"lb",
"30-1-crs-jersey-tee-white",,,,,,,,"M",,"WHITE",,,"LFCO17LS005-WHT-M",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236561997,,,,,,,,,,,,,,,,,,,,,"lb",
"30-1-crs-jersey-tee-white",,,,,,,,"L",,"WHITE",,,"LFCO17LS005-WHT-L",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236562000,,,,,,,,,,,,,,,,,,,,,"lb",
"30-1-crs-jersey-tee-white",,,,,,,,"XL",,"WHITE",,,"LFCO17LS005-WHT-XL",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236562017,,,,,,,,,,,,,,,,,,,,,"lb",
"30-1-crs-jersey-tee-white",,,,,,,,"2XL",,"WHITE",,,"LFCO17LS005-WHT-2XL",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236562024,,,,,,,,,,,,,,,,,,,,,"lb",
"30-1-crs-jersey-tee-black","Long Sleeve Jersey Tee","<h6>Description</h6>
<p>Standard fit, featuring super soft 30/1 <span>Spun cotton</span>, crew neck and long sleeves.</p>
<h6>Details</h6>
<p>30/1 Soft SpunCotton / Polyester blend 4.3 oz / 145 gram</p>
<h6>Size Guide</h6>
<p><img src=""//cdn.shopify.com/s/files/1/0750/4121/files/Screen_Shot_2016-03-09_at_3.23.12_PM_large_815081ed-f8a3-47a0-adbc-d1a023d54482_large.png?v=1487856755"" alt=""""></p>","LA FAMILIA MMXIV","TEE","20-40, 30/1 CRS JERSEY TEE, doublestandard, TEE","FALSE","Size","S","Color","BLACK",,,"LFCO17LS005-BLK-S",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236561881,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"30/1 CRS JERSEY TEE",,,"New",,,,,,,,"lb",
"30-1-crs-jersey-tee-black",,,,,,,,"M",,"BLACK",,,"LFCO17LS005-BLK-M",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236561898,,,,,,,,,,,,,,,,,,,,,"lb",
"30-1-crs-jersey-tee-black",,,,,,,,"L",,"BLACK",,,"LFCO17LS005-BLK-L",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236561904,,,,,,,,,,,,,,,,,,,,,"lb",
"30-1-crs-jersey-tee-black",,,,,,,,"XL",,"BLACK",,,"LFCO17LS005-BLK-XL",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236561911,,,,,,,,,,,,,,,,,,,,,"lb",
"30-1-crs-jersey-tee-black",,,,,,,,"2XL",,"BLACK",,,"LFCO17LS005-BLK-2XL",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236561928,,,,,,,,,,,,,,,,,,,,,"lb",
