"Variant SKU","Title","Body (HTML)","Variant Grams","Variant Inventory Qty","Variant Price","Image Src","Image Position","Variant Weight Unit"
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_29.jpg?v=1490896195",2,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_Fit8_travel_duffel_td42Ljpg.jpg?v=1490896195",3,
"R1608007_black","DOPP KIT /  DK-SINGLE","<meta charset=""utf-8"">
<p>Function/use: Our Dopp Kit allows you the luxury of keeping your essentials close, organized and easily accessible. Made from durable CORDURA� Ballistic Fabric and lined with nylon ripstop makes this the ideal companion for carrying toiletries to the gym or used as additional accessory storage at the of�ce.</p>
<p><span>Dimensions:<br>10 x 5 x 4 in.<br>Weight: 0.5 lbs.��</span></p>",227,16,45.95,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_DOPPKIT_DP_SINGLE_BLK.jpg?v=1491401699",1,"lb"
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_DOPPKIT_DP_SINGLE_BLK_af77a7d2-94bb-496b-a195-10f9677d5195.jpg?v=1491429265",2,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_Fit9_dk_single.jpg?v=1491429265",3,
"R108004_black","SHOULDER BRIEF /  SB-10L","<meta charset=""utf-8"">
<p>Function/use: The SB-10L is a modern twist on the classic briefcase. Its boxy, technical silhouette and rough and tumble materials means it�۪s ready to get down to business, but not just at the of�ce. From work to the weekend, our brief has enough room for a 15�۝ laptop and tablet plus plenty of pocket space to keep you organized.</p>
<p><span><span>Dimensions:</span><br><span>16 x 10 x 5 in.</span><br><span>Weight: 2 lbs.��</span></span></p>",907,24,119.95,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_SHOULDERBRIEF_SB10L_BLK.jpg?v=1490749091",1,"lb"
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_Full25.jpg?v=1490749091",2,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_Fit6_SB10L.jpg?v=1490749091",3,
"R1608002_olive","SQUARE PACK / SP-15L OLIVE","<p><span>Function/use: The SP-15L is our midsized daypack with a modern silhouette made for the individual who wants an update to their everyday carry while remaining professional. With two large compartments, this bag is big enough to hold up to a 15�۝ laptop and all the accessories that go along with it.��</span>��</p>
<meta charset=""utf-8"">
<p><span><span>Dimensions:</span><br><span>18 x 12 x 5 in.</span><br><span>Weight: 2.5 lbs.��</span></span><span>��</span>��</p>
<div></div>
<div></div>",1814,25,179.95,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_SQUAREPACK_SP15L_OLV_SCALE.jpg?v=1491354339",1,"lb"
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_SQUAREPACK_SP15L_OLV2.jpg?v=1491354342",2,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_SQUAREPACK_SP15L_OLV3.jpg?v=1491354344",3,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_SQUAREPACK_SP15L_OLV4.jpg?v=1491354346",4,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_Fit4_SP15L_olv.jpg?v=1491355274",5,
"R1608001_olive","DAYPACK / DP-16L OLIVE","<p><span>Function/use: The DP-15L is our go-to companion for everyday use. Even though it�۪s our smallest bag, it�۪s still big enough to fit up to a 15�۝ laptop and has an expandable gusseted side pocket for water bottle storage. An EVA compression molded back panel and air mesh shoulder straps make this bag comfortable while remaining lightweight.</span></p>
<meta charset=""utf-8"">
<p><span><span>Dimensions:</span><br><span>18 x 12 x 5 in.</span><br><span>Weight: 2.5 lbs.��</span></span><span>��</span></p>",907,22,149.95,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_DAYPACK_DP16L_OLV_SCALE.jpg?v=1491354277",1,"lb"
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_DAYPACK_DP16L_OLV2.jpg?v=1491354280",2,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_DAYPACK_DP16L_OLV3.jpg?v=1491354282",3,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_DAYPACK_DP16L_OLV4.jpg?v=1491354284",4,
"R1608006_olive","RUCKSACK / RS22L OLIVE","<p><span>Function/use: Our RS-22L is a fashion-forward addition to your pack collection. Bigger than a regular backpack, this is a contemporary take on a traditional design with a tech-savvy edge. Take this one on the road or use it daily paired with the Dopp Kit for additional organization.</span></p>
<meta charset=""utf-8"">
<p><span><span>Dimensions:</span><br><span>21��x 12 x 5 in.</span><br><span>Weight: 2.5 lbs.��</span></span></p>",454,25,185.95,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_RUCKSACK_RS22L_OLV1_SCALE.jpg?v=1491354229",1,"lb"
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_RUCKSACK_RS22L_OLV1.jpg?v=1491354231",2,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_RUCKSACK_RS22L_OLV2.jpg?v=1491354233",3,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_RUCKSACK_RS22L_OLV3.jpg?v=1491354235",4,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_Fit5_RS22L_olv-fix.jpg?v=1491355324",5,
"R1608010_black","FOLIO SLEEVE / FS-13 BLK","<meta charset=""utf-8"">
<p><b>Function/use:</b> We make carrying what you need easier with the Sleeve. Available in three sizes, our sleeves protect your tablet, e-reader and 13�۝ or 15�۝ laptop with a padded, microfiber lined compartment. Each size comes with an additional external pocket providing for easy accessory storage and our secure barlock closure system, ensuring whatever�۪s inside will stay there.��</p>
<div></div>
<p><span>Dimensions:<br></span></p>
<p>13 ��� sleeve: 14 x 11 x 0.75 in.</p>
<p>��</p>
<p><span>��</span></p>",454,22,39.95,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_FS_13_Black.jpg?v=1491251525",1,"lb"
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_FS_13_Black_ef2601e7-0526-4639-beb9-62bb0d35b3ee.jpg?v=1491251556",2,
"R1608011_black","FOLIO SLEEVE / FS-15 BLK","<meta charset=""utf-8"">
<p><b>Function/use:</b> We make carrying what you need easier with the Sleeve. Available in three sizes, our sleeves protect your tablet, e-reader and 13�۝ or 15�۝ laptop with a padded, microfiber lined compartment. Each size comes with an additional external pocket providing for easy accessory storage and our secure barlock closure system, ensuring whatever�۪s inside will stay there.��</p>
<div></div>
<p><span>Dimensions:<br></span></p>
<p>15�۝ sleeve: 16 x 12 x 0.75 in.</p>
<p><span>��</span></p>",454,22,45.95,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_FS_15_Black.jpg?v=1491251453",1,"lb"
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_FS_15_Black_dc19f776-b4d3-44c0-87fe-98b4a6fac3f5.jpg?v=1491251478",2,
"R1608009_black","FOLIO SLEEVE / FS-TAB","<meta charset=""utf-8"">
<p><b>Function/use:</b>��We make carrying what you need easier with the Sleeve. Available in three sizes, our sleeves protect your tablet, e-reader and 13�۝ or 15�۝ laptop with a padded, microfiber lined compartment. Each size comes with an additional external pocket providing for easy accessory storage and our secure barlock closure system, ensuring whatever�۪s inside will stay there.��</p>
<div></div>
<p>Dimensions:</p>
<p>Folio sleeve: 11 x 8 x 0.75 in.</p>
<div></div>",454,25,35.95,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_FS_Tab_Black.jpg?v=1491251608",1,"lb"
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_FS_Tab_Black_1a3107ca-d08f-46cd-b350-f7c4df8de57d.jpg?v=1491251615",2,
