"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code"
"weekdays-dad-hat-white","Weekdays Dad Hat, White","<meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8"">
<p><span>Even women can look like cool dads in this sweet hat.</span><br><i>• 6-Panel<br>• 100% Cotton<br>• 3 1/4"" Unstructured relaxed<br>• Extra low profile<br>• Matching cotton sweatband and under visor<br>• Cloth strap with antique rail buckle</i></p>
<p><i>One size fits most</i></p>","days off","Accessories","Accessories","TRUE","Color","White",,,,,"DO161173-White",454,"shopify",2,"deny","manual",30,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/days_off_hat__0001_2K3A5425.jpg?v=1492663109",1,"Weekdays Dad Hat, White - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/days_off_hat__0001_2K3A5425.jpg?v=1492663109","lb",
"weekdays-dad-hat-white",,,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/days_off_hat__0000_2K3A5427.jpg?v=1492663110",2,"Weekdays Dad Hat, White - days off",,,,,,,,,,,,,,,,,,,
"weekdays-dad-hat","Weekdays Dad Hat, Navy","<meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8"">
<p><span>Even women can look like cool dads in this sweet hat.</span><br><i>• 6-Panel<br>• 100% Cotton<br>• 3 1/4"" Unstructured relaxed<br>• Extra low profile<br>• Matching cotton sweatband and under visor<br>• Cloth strap with antique rail buckle</i></p>
<p><i>One size fits most</i></p>","days off","Accessories","Accessories","TRUE","Color","Navy",,,,,"DO161173-Navy",454,"shopify",2,"deny","manual",30,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/days_off_hat__0003_2K3A5418.jpg?v=1492663108",1,"Weekdays Dad Hat, Navy - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/days_off_hat__0003_2K3A5418.jpg?v=1492663108","lb",
"weekdays-dad-hat",,,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/days_off_hat__0002_2K3A5424.jpg?v=1492663109",2,"Weekdays Dad Hat, Navy - days off",,,,,,,,,,,,,,,,,,,
"owen-tote-bag","Owen Tote Bag","<meta charset=""utf-8"">
<p><span>Large enough for a 6 pack and a beach towel, small enough so that you don't look like a man with a purse.</span><br><i>• 100% Cotton sheeting<br>• Natural color body and navy handles<br>• 22"" handles (self fabric)<br>• 15""W x 16""H Body<br>• Screen printed artwork on front and back (centered)<br></i></p>","days off","Accessories","Accessories","TRUE","Color","Canvas",,,,,"DO161172-Canvas",454,"shopify",5,"deny","manual",28,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/Messages_Image_2509141854.png?v=1493392789",1,"Owen Tote Bag - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/Messages_Image_2300278726.png?v=1493392789","lb",
"owen-tote-bag",,,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/Messages_Image_2300278726.png?v=1493392789",2,"Owen Tote Bag - days off",,,,,,,,,,,,,,,,,,,
"weekend-longsleeve-tee-white","Weekend Longsleeve Tee, White","<meta charset=""utf-8""><span>Days off are better than others. </span><br><i>• Weekdays logo printed on left chest<br>• Cross out logo printed on back<br>• 100% Cotton</i>","Days Off","Tees","Tops","TRUE","Size","S","Color","White",,,"DO168888-White",454,"shopify",0,"deny","manual",44,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0004_2K3A5768edit.jpg?v=1492663112",1,"Weekend Longsleeve Tee, White - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0004_2K3A5768edit.jpg?v=1492663112","lb",
"weekend-longsleeve-tee-white",,,,,,,,"M",,"White",,,"DO168888-White",454,"shopify",2,"deny","manual",44,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0005_2K3A5766edit.jpg?v=1492663113",2,"Weekend Longsleeve Tee, White - days off",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0004_2K3A5768edit.jpg?v=1492663112","lb",
"weekend-longsleeve-tee-white",,,,,,,,"L",,"White",,,"DO168888-White",454,"shopify",1,"deny","manual",44,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0004_2K3A5768edit.jpg?v=1492663112","lb",
"weekend-longsleeve-tee-white",,,,,,,,"XL",,"White",,,"DO168888-White",454,"shopify",1,"deny","manual",44,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0004_2K3A5768edit.jpg?v=1492663112","lb",
"weekend-longsleeve-tee-white",,,,,,,,"2XL",,"White",,,"DO168888-White",454,"shopify",1,"deny","manual",44,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0004_2K3A5768edit.jpg?v=1492663112","lb",
"weekend-longsleeve-tee-yellow","Weekend Longsleeve Tee, Yellow","<meta charset=""utf-8""><span>Days off are better than others. </span><br><i>• Weekdays logo printed on left chest<br>• Cross out logo printed on back<br>• 100% Cotton</i>","Days Off","Tees","Tops","TRUE","Size","S","Color","Yellow",,,"DO168888-Yellow",454,"shopify",0,"deny","manual",44,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0003_2K3A5785edit.jpg?v=1492663114",1,"Weekend Longsleeve Tee, Yellow - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0003_2K3A5785edit.jpg?v=1492663114","lb",
"weekend-longsleeve-tee-yellow",,,,,,,,"M",,"Yellow",,,"DO168888-Yellow",454,"shopify",1,"deny","manual",44,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0002_2K3A5781edit.jpg?v=1492663115",2,"Weekend Longsleeve Tee, Yellow - days off",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0003_2K3A5785edit.jpg?v=1492663114","lb",
"weekend-longsleeve-tee-yellow",,,,,,,,"L",,"Yellow",,,"DO168888-Yellow",454,"shopify",1,"deny","manual",44,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0003_2K3A5785edit.jpg?v=1492663114","lb",
"weekend-longsleeve-tee-yellow",,,,,,,,"XL",,"Yellow",,,"DO168888-Yellow",454,"shopify",0,"deny","manual",44,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0003_2K3A5785edit.jpg?v=1492663114","lb",
"weekend-longsleeve-tee-yellow",,,,,,,,"2XL",,"Yellow",,,"DO168888-Yellow",454,"shopify",0,"deny","manual",44,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0003_2K3A5785edit.jpg?v=1492663114","lb",
"weekend-longsleeve-tee","Weekend Longsleeve Tee, Navy","<meta charset=""utf-8""><span>Days off are better than others. </span><br><i>• Weekdays logo printed on left chest<br>• Cross out logo printed on back<br>• 100% Cotton<br></i>","Days Off","Tees","Tops","TRUE","Size","S","Color","Navy",,,"DO168888-Navy",454,"shopify",1,"deny","manual",44,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0001_2K3A5774edit.jpg?v=1492663111",1,"Weekend Longsleeve Tee, Navy - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0001_2K3A5774edit.jpg?v=1492663111","lb",
"weekend-longsleeve-tee",,,,,,,,"M",,"Navy",,,"DO168888-Navy",454,"shopify",1,"deny","manual",44,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0000_2K3A5773edit.jpg?v=1492663111",2,"Weekend Longsleeve Tee, Navy - days off",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0001_2K3A5774edit.jpg?v=1492663111","lb",
"weekend-longsleeve-tee",,,,,,,,"L",,"Navy",,,"DO168888-Navy",454,"shopify",2,"deny","manual",44,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0001_2K3A5774edit.jpg?v=1492663111","lb",
"weekend-longsleeve-tee",,,,,,,,"XL",,"Navy",,,"DO168888-Navy",454,"shopify",1,"deny","manual",44,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0001_2K3A5774edit.jpg?v=1492663111","lb",
"weekend-longsleeve-tee",,,,,,,,"2XL",,"Navy",,,"DO168888-Navy",454,"shopify",1,"deny","manual",44,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0001_2K3A5774edit.jpg?v=1492663111","lb",
"mtwtf-t-shirt-obsidian-black","Weekdays T-Shirt, Obsidian Black",,"Days Off","Tees","Tops","FALSE","Size","S","Color","Obsidian Black",,,"DO161112-Obsidian Black",181,"shopify",2,"deny","manual",36,,"TRUE","TRUE",,,,,"FALSE",,,,,,,,,,,,,,,,,"lb",
"mtwtf-t-shirt-obsidian-black",,,,,,,,"M",,"Obsidian Black",,,"DO161112-Obsidian Black",181,"shopify",4,"deny","manual",36,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",
"mtwtf-t-shirt-obsidian-black",,,,,,,,"L",,"Obsidian Black",,,"DO161112-Obsidian Black",181,"shopify",4,"deny","manual",36,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",
"mtwtf-t-shirt-obsidian-black",,,,,,,,"XL",,"Obsidian Black",,,"DO161112-Obsidian Black",181,"shopify",2,"deny","manual",36,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",
"mtwtf-t-shirt-obsidian-black",,,,,,,,"2XL",,"Obsidian Black",,,"DO161112-Obsidian Black",181,"shopify",1,"deny","manual",36,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",
"mtwtf-t-shirt-white","Weekdays T-Shirt, White","<meta charset=""utf-8""><span>Days off are better than others. </span><br><i>• Weekdays logo printed on center chest<br>• 100% Cotton</i>","Days Off","Tees","Tops","TRUE","Size","S","Color","White",,,"DO161112-White",181,"shopify",1,"deny","manual",36,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/mtwtf_tee.jpg?v=1492663110",1,"Weekdays T-Shirt, White - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/mtwtf_tee.jpg?v=1492663110","lb",
"mtwtf-t-shirt-white",,,,,,,,"M",,"White",,,"DO161112-White",181,"shopify",3,"deny","manual",36,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/0006_2K3A9767.jpg?v=1492663110",2,"Weekdays T-Shirt, White - days off",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/mtwtf_tee.jpg?v=1492663110","lb",
"mtwtf-t-shirt-white",,,,,,,,"L",,"White",,,"DO161112-White",181,"shopify",3,"deny","manual",36,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/mtwtf_tee.jpg?v=1492663110","lb",
"mtwtf-t-shirt-white",,,,,,,,"XL",,"White",,,"DO161112-White",181,"shopify",2,"deny","manual",36,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/mtwtf_tee.jpg?v=1492663110","lb",
"mtwtf-t-shirt-white",,,,,,,,"2XL",,"White",,,"DO161112-White",181,"shopify",1,"deny","manual",36,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/mtwtf_tee.jpg?v=1492663110","lb",
"forster-travel-pouch","Forster Travel Pouch","<meta charset=""utf-8"">
<p><span>We travel a lot and all of those times that our toothpaste exploded inside our travel kits really got old, so we lined this pouch with Tyvek which is everything proof. It's also reversible. Features include:</span><br><i>• 350 gram reverse slub french terry<br>• Proprietary heathered face<br>• 90% Cotton 10% Poly composition<br>• Screen printed logos on front &amp; reverse side<br>• Reversible zipper pull<br>• Tyvek on reverse side</i><br><i>• Signature Never Working flag label</i></p>
<p> </p>","Days Off","Accessories","Accessories","TRUE","Color","Shore Grey",,,,,"DO161171-Grey",181,"shopify",5,"deny","manual",32,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/0003_2K3A4232edit.jpg?v=1492663076",1,"Forster Travel Pouch - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/0003_2K3A4232edit.jpg?v=1492663076","lb",
"forster-travel-pouch",,,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/0002_2K3A4233edit.jpg?v=1492663076",2,"Forster Travel Pouch - days off",,,,,,,,,,,,,,,,,,,
"forster-travel-pouch",,,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/0001_2K3A4236edit.jpg?v=1492663076",3,"Forster Travel Pouch - days off",,,,,,,,,,,,,,,,,,,
"forster-travel-pouch",,,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/0000_2K3A5906edit.jpg?v=1492663077",4,"Forster Travel Pouch - days off",,,,,,,,,,,,,,,,,,,
"manchester-sweatpants-obsidian-black","Manchester Sweatpants, Obsidian Black",,"Days Off","Bottoms","Bottoms","FALSE","Size","S","Color","Obsidian Black",,,"DO161151-Obsidian Black",181,"shopify",1,"deny","manual",90,,"TRUE","TRUE",,,,,"FALSE",,,,,,,,,,,,,,,,,"lb",
"manchester-sweatpants-obsidian-black",,,,,,,,"M",,"Obsidian Black",,,"DO161151-Obsidian Black",181,"shopify",3,"deny","manual",90,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",
"manchester-sweatpants-obsidian-black",,,,,,,,"L",,"Obsidian Black",,,"DO161151-Obsidian Black",181,"shopify",3,"deny","manual",90,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",
"manchester-sweatpants-obsidian-black",,,,,,,,"XL",,"Obsidian Black",,,"DO161151-Obsidian Black",181,"shopify",2,"deny","manual",90,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",
"manchester-sweatpants-obsidian-black",,,,,,,,"2XL",,"Obsidian Black",,,"DO161151-Obsidian Black",181,"shopify",0,"deny","manual",90,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",
"manchester-sweatpants-essex-blue","Manchester Sweatpants, Essex Blue","<meta charset=""utf-8""><meta charset=""utf-8"">
<p><span>Don't over think it, sweatpants are always an option. Features include:</span><br><i>• 350 gram reverse slub french terry<br>• Proprietary heathered face<br>• 90% Cotton 10% Poly composition<br>• Screen printed on back hip<br>• Embroidered ""nothing"" logo on left side <br>• Signature Never Working flag label</i></p>
<meta charset=""utf-8"">
<p><i>True to size for slim fit, size up one size for casual fit</i></p>","Days Off","Bottoms","Bottoms","TRUE","Size","S","Color","Essex Blue",,,"DO161151-Essex Blue",181,"shopify",1,"deny","manual",90,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/0000_DaysOff-23_FINAL.jpg?v=1492663081",1,"Manchester Sweatpants, Essex Blue - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/0000_DaysOff-23_FINAL.jpg?v=1492663081","lb",
"manchester-sweatpants-essex-blue",,,,,,,,"M",,"Essex Blue",,,"DO161151-Essex Blue",181,"shopify",2,"deny","manual",90,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/0004_DaysOff-25.jpg?v=1492663082",2,"Manchester Sweatpants, Essex Blue - days off",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/0000_DaysOff-23_FINAL.jpg?v=1492663081","lb",
"manchester-sweatpants-essex-blue",,,,,,,,"L",,"Essex Blue",,,"DO161151-Essex Blue",181,"shopify",2,"deny","manual",90,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/0005_DaysOff-24.jpg?v=1492663083",3,"Manchester Sweatpants, Essex Blue - days off",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/0000_DaysOff-23_FINAL.jpg?v=1492663081","lb",
"manchester-sweatpants-essex-blue",,,,,,,,"XL",,"Essex Blue",,,"DO161151-Essex Blue",181,"shopify",1,"deny","manual",90,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/0003_DaysOff-26.jpg?v=1492663084",4,"Manchester Sweatpants, Essex Blue - days off",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/0000_DaysOff-23_FINAL.jpg?v=1492663081","lb",
"manchester-sweatpants-essex-blue",,,,,,,,"2XL",,"Essex Blue",,,"DO161151-Essex Blue",181,"shopify",1,"deny","manual",90,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/0000_DaysOff-23_FINAL.jpg?v=1492663081","lb",
"manchester-sweatpants-shore-grey","Manchester Sweatpants, Shore Grey","<meta charset=""utf-8"">
<p><span>Don't over think it, sweatpants are always an option. Features include:</span><br><i>• 350 gram reverse slub french terry<br>• Proprietary heathered face<br>• 90% Cotton 10% Poly composition<br>• Screen printed on back hip<br>• Embroidered ""nothing"" logo on left side <br>• Signature Never Working flag label</i></p>
<meta charset=""utf-8"">
<p><i>True to size for slim fit, size up one size for casual fit</i></p>","Days Off","Bottoms","Bottoms","TRUE","Size","S","Color","Shore Grey",,,"DO161151-Shore Grey",181,"shopify",1,"deny","manual",90,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/0001_DaysOff-19_FINAL.jpg?v=1492663085",1,"Manchester Sweatpants, Shore Grey - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/0001_DaysOff-19_FINAL.jpg?v=1492663085","lb",
"manchester-sweatpants-shore-grey",,,,,,,,"M",,"Shore Grey",,,"DO161151-Shore Grey",181,"shopify",2,"deny","manual",90,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/pants_bottoms_grey_update.jpg?v=1492663086",2,"Manchester Sweatpants, Shore Grey - days off",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/0001_DaysOff-19_FINAL.jpg?v=1492663085","lb",
"manchester-sweatpants-shore-grey",,,,,,,,"L",,"Shore Grey",,,"DO161151-Shore Grey",181,"shopify",2,"deny","manual",90,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/0002_DaysOff-20.jpg?v=1492663087",3,"Manchester Sweatpants, Shore Grey - days off",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/0001_DaysOff-19_FINAL.jpg?v=1492663085","lb",
"manchester-sweatpants-shore-grey",,,,,,,,"XL",,"Shore Grey",,,"DO161151-Shore Grey",181,"shopify",0,"deny","manual",90,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/0001_DaysOff-22.jpg?v=1492663088",4,"Manchester Sweatpants, Shore Grey - days off",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/0001_DaysOff-19_FINAL.jpg?v=1492663085","lb",
"manchester-sweatpants-shore-grey",,,,,,,,"2XL",,"Shore Grey",,,"DO161151-Shore Grey",181,"shopify",1,"deny","manual",90,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/0001_DaysOff-19_FINAL.jpg?v=1492663085","lb",
"lincoln-sweatshorts-obsidian-black","Lincoln Sweatshorts, Obsidian Black",,"Days Off","Bottoms","Bottoms","FALSE","Size","S","Color","Obsidian Black",,,"DO161152-Obsidian Black",181,"shopify",1,"deny","manual",80,,"TRUE","TRUE",,,,,"FALSE",,,,,,,,,,,,,,,,,"lb",
"lincoln-sweatshorts-obsidian-black",,,,,,,,"M",,"Obsidian Black",,,"DO161152-Obsidian Black",181,"shopify",3,"deny","manual",80,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",
"lincoln-sweatshorts-obsidian-black",,,,,,,,"L",,"Obsidian Black",,,"DO161152-Obsidian Black",181,"shopify",3,"deny","manual",80,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",
"lincoln-sweatshorts-obsidian-black",,,,,,,,"XL",,"Obsidian Black",,,"DO161152-Obsidian Black",181,"shopify",2,"deny","manual",80,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",
"lincoln-sweatshorts-obsidian-black",,,,,,,,"2XL",,"Obsidian Black",,,"DO161152-Obsidian Black",181,"shopify",1,"deny","manual",80,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",
"lincoln-sweatshorts-essex-blue","Lincoln Sweatshorts, Essex Blue","<meta charset=""utf-8""><meta charset=""utf-8"">
<p><span>Perfect for lounging around the house, long walks on the beach and avoiding your girlfriend's phone calls. Features include:</span><br><i>• 350 gram reverse slub french terry<br>• Proprietary heathered face<br>• 90% Cotton 10% Poly composition<br>• Screen printed on back hip<br>• Embroidered ""nothing"" logo on left side <br>• Signature Never Working flag label</i></p>
<meta charset=""utf-8"">
<p><i>True to size for slim fit, size up one size for casual fit</i></p>","Days Off","Bottoms","Bottoms","TRUE","Size","S","Color","Essex Blue",,,"DO161152-Essex Blue",181,"shopify",1,"deny","manual",80,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/shorts_0000_DaysOff-43.jpg?v=1492663077",1,"Lincoln Sweatshorts, Essex Blue - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/shorts_0000_DaysOff-43.jpg?v=1492663077","lb",
"lincoln-sweatshorts-essex-blue",,,,,,,,"M",,"Essex Blue",,,"DO161152-Essex Blue",181,"shopify",2,"deny","manual",80,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/0003_DaysOff-44.jpg?v=1492663077",2,"Lincoln Sweatshorts, Essex Blue - days off",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/shorts_0000_DaysOff-43.jpg?v=1492663077","lb",
"lincoln-sweatshorts-essex-blue",,,,,,,,"L",,"Essex Blue",,,"DO161152-Essex Blue",181,"shopify",2,"deny","manual",80,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/0002_DaysOff-45.jpg?v=1492663078",3,"Lincoln Sweatshorts, Essex Blue - days off",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/shorts_0000_DaysOff-43.jpg?v=1492663077","lb",
"lincoln-sweatshorts-essex-blue",,,,,,,,"XL",,"Essex Blue",,,"DO161152-Essex Blue",181,"shopify",1,"deny","manual",80,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/shorts_0000_DaysOff-43.jpg?v=1492663077","lb",
"lincoln-sweatshorts-essex-blue",,,,,,,,"2XL",,"Essex Blue",,,"DO161152-Essex Blue",181,"shopify",1,"deny","manual",80,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/shorts_0000_DaysOff-43.jpg?v=1492663077","lb",
